,date,unique_sessions,spend_time_max,spend_time_min,spend_time_mean,spend_time_sum,notification_mean,notification_sum,battery_max,battery_min,battery_mean,battery_delta,UserID,Better_category_Phone,Better_category_Drawing,Better_category_Mechanical_Turk,Better_category_Family_Planning,Better_category_Messages,Better_category_Video_Players_&_Editors,Better_category_Security,Better_category_Food_&_Drinks,Better_category_Document_Editor,Better_category_Weather,Better_category_Business_Management,Better_category_Medical,Better_category_House_Search,Better_category_Phone_Assistant,Better_category_Personal_Finance,Better_category_Book_Readers,Better_category_Streaming_Services,Better_category_Background_Process,Better_category_Time_Tracker,Better_category_Travel_Planning,Better_category_Sports,Better_category_Dating,Better_category_Phone_Personalization,Better_category_Music_&_Audio,Better_category_Messaging,Better_category_Education,Better_category_Personal_Fitness,Better_category_Remote_Administration,Better_category_Email,Better_category_Dialer,Better_category_To-Do_List,Better_category_Game_Singleplayer,Better_category_Wearables,Better_category_Calendar,Better_category_Camera,Better_category_Instant_Messaging,Better_category_Maps,Better_category_Portfolio/Trading,Better_category_Social_Networking,Better_category_Phone_Tools,Better_category_Internet_Browser,Better_category_Game_Multiplayer,Better_category_Entertainment,Better_category_Auto_&_Vehicles,Better_category_News,Better_category_Phone_Optimization,Better_category_Home_Automation,Better_category_Job_Search,Better_category_Online_Shopping,Better_category_Coupons,Date,F_average,F_binary
10,2020-02-13,34,9.648783333333334,0.005166666666666667,1.0914662601626017,89.50023333333334,0.0975609756097561,8,98.0,41.0,57.292682926829265,57.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,7,1,0,14,2,5,0,0,0,0,0,0,0,0,0,2020-02-13,4.933333333333334,1
11,2020-02-14,39,21.81755,0.00013333333333333334,1.2366539723661485,238.67421666666667,0.13989637305699482,27,92.0,40.0,68.25388601036269,52.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,35,11,0,0,0,1,4,15,2,0,35,1,40,0,0,0,0,0,1,0,0,0,2020-02-14,4.533333333333333,1
12,2020-02-15,14,12.39565,0.00305,1.5734154320987654,84.96443333333333,0.07407407407407407,4,100.0,33.0,43.25925925925926,67.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,2020-02-15,3.6,0
13,2020-02-16,21,10.74525,0.016766666666666666,1.8520034391534392,116.67621666666668,0.07936507936507936,5,95.0,67.0,81.14285714285714,28.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,7,2,15,0,0,0,0,0,0,0,0,0,2020-02-16,5.533333333333333,1
14,2020-02-17,21,7.0661,0.0002,0.8519958937198068,58.78771666666667,0.11594202898550725,8,63.0,36.0,48.405797101449274,27.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,1,0,0,0,11,4,0,0,0,0,1,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,2020-02-17,5.133333333333334,1
15,2020-02-18,52,28.066383333333334,5e-05,1.7737908950617283,191.56941666666665,0.08333333333333333,9,87.0,31.0,60.00925925925926,56.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,23,1,7,0,0,0,0,0,0,0,0,0,2020-02-18,4.666666666666666,1
16,2020-02-19,25,8.42645,0.0002666666666666667,1.1502201465201465,104.67003333333334,0.15384615384615385,14,100.0,32.0,79.23076923076923,68.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,1,0,0,0,16,4,0,0,0,0,1,5,1,0,18,0,14,0,0,0,0,0,0,0,0,0,2020-02-19,4.266666666666667,1
17,2020-02-20,25,13.543233333333333,0.0022166666666666667,1.3543193939393938,148.97513333333333,0.045454545454545456,5,86.0,43.0,64.53636363636363,43.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,5,0,0,17,2,21,0,0,0,0,0,0,0,0,0,2020-02-20,5.133333333333334,1
18,2020-02-21,24,8.694866666666666,0.0009666666666666667,1.0543087301587302,110.70241666666666,0.01904761904761905,2,100.0,37.0,77.75238095238095,63.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,19,7,18,0,0,0,0,0,0,0,0,0,2020-02-21,5.533333333333333,1
19,2020-02-22,122,7.560233333333334,0.00065,0.605635758998435,129.00041666666667,0.004694835680751174,1,100.0,43.0,70.16431924882629,57.0,14981,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,5,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,37,9,53,0,19,2,20,0,0,0,0,0,0,0,0,0,2020-02-22,5.666666666666667,1
20,2020-02-23,21,14.8052,0.00023333333333333333,1.4017395555555554,105.13046666666666,0.09333333333333334,7,97.0,36.0,80.56,61.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,1,0,0,13,0,13,0,0,0,0,0,0,0,0,0,2020-02-23,4.166666666666667,1
21,2020-02-24,27,6.607366666666667,0.0013666666666666666,1.0599321428571429,74.19525,0.08571428571428572,6,100.0,48.0,63.7,52.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,10,0,16,0,0,0,0,0,0,0,0,0,2020-02-24,5.0,1
22,2020-02-25,28,21.134566666666668,0.00016666666666666666,1.5352428571428571,139.7071,0.03296703296703297,3,94.0,57.0,75.87912087912088,37.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,6,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,17,2,9,0,0,0,0,0,0,0,0,0,2020-02-25,5.0,1
23,2020-02-26,49,6.2995,0.005533333333333334,1.0004731182795699,93.044,0.043010752688172046,4,100.0,52.0,82.56989247311827,48.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,7,0,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,2020-02-26,4.666666666666666,1
24,2020-02-27,30,6.49175,0.00016666666666666666,0.9612373333333334,96.12373333333333,0.07,7,97.0,33.0,54.79,64.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,27,5,0,0,0,0,1,2,2,0,14,3,16,0,0,0,0,0,0,0,0,0,2020-02-27,4.8,1
25,2020-02-28,24,5.90265,0.0008,0.8372151282051282,54.41898333333334,0.06153846153846154,4,87.0,59.0,72.2,28.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,10,0,17,0,0,0,0,0,0,0,0,0,2020-02-28,5.0,1
26,2020-02-29,39,28.637433333333334,0.00013333333333333334,1.3380923664122137,175.2901,0.04580152671755725,6,93.0,47.0,67.49618320610686,46.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,14,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,10,0,0,0,22,2,21,0,0,0,0,0,0,0,2,0,2020-02-29,4.466666666666667,1
27,2020-03-01,21,17.03125,0.0016,2.589827435897436,168.33878333333334,0.046153846153846156,3,100.0,33.0,75.8,67.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,9,1,3,0,0,0,0,0,0,0,0,0,2020-03-01,3.6666666666666665,0
28,2020-03-02,23,22.393466666666665,0.00095,1.811474011299435,106.87696666666666,0.0847457627118644,5,72.0,37.0,54.898305084745765,35.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,2020-03-02,3.9333333333333336,0
29,2020-03-03,32,15.2406,0.0012333333333333332,1.1341164772727272,99.80225,0.10227272727272728,9,83.0,30.0,64.86363636363636,53.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,7,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,2,0,0,13,3,9,0,0,0,0,0,0,0,0,0,2020-03-03,5.133333333333333,1
30,2020-05-02,28,9.176133333333333,0.01665,1.0783401851851853,97.05061666666667,0.14444444444444443,13,100.0,28.0,56.388888888888886,72.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,18,2,19,0,0,0,0,0,0,0,2,0,2020-05-02,5.0,1
31,2020-05-03,41,16.850233333333332,0.005233333333333334,1.4961909604519774,176.55053333333333,0.16101694915254236,19,90.0,49.0,70.12711864406779,41.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,12,0,0,19,10,14,0,0,0,0,0,0,0,0,0,2020-05-03,4.666666666666667,1
32,2020-05-04,22,18.292666666666666,0.0335,1.416816384180791,83.59216666666667,0.15254237288135594,9,52.0,22.0,35.45762711864407,30.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,1,2,0,0,13,0,8,0,0,0,0,0,0,0,0,0,2020-05-04,4.333333333333333,1
33,2020-05-05,34,18.491933333333332,0.0044666666666666665,1.5927569553805774,202.28013333333334,0.03937007874015748,5,100.0,55.0,77.33858267716535,45.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,4,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,2,7,0,0,22,4,21,0,0,0,0,0,0,0,0,0,2020-05-05,4.933333333333334,1
34,2020-05-06,38,20.72135,0.0015666666666666667,1.3840996794871796,143.94636666666668,0.08653846153846154,9,97.0,22.0,47.59615384615385,75.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,5,0,0,0,0,0,0,4,0,0,0,19,2,0,0,0,0,1,1,0,0,19,1,20,0,0,0,0,0,0,0,0,0,2020-05-06,3.8666666666666663,0
35,2020-05-07,38,16.653783333333333,0.022083333333333333,1.412410989010989,128.5294,0.054945054945054944,5,87.0,45.0,69.96703296703296,42.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,1,6,0,11,3,15,0,0,0,0,0,1,0,0,0,2020-05-07,4.5,1
36,2020-05-08,31,14.549383333333333,0.0031,1.4562826023391815,166.01621666666668,0.05263157894736842,6,100.0,40.0,74.85087719298245,60.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,1,0,0,23,1,28,0,0,0,0,0,0,0,0,0,2020-05-08,4.0,1
37,2020-05-09,59,19.798166666666667,0.0037,1.128039144736842,171.46195,0.10526315789473684,16,75.0,25.0,52.43421052631579,50.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,7,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,3,26,0,0,23,2,15,0,0,0,0,0,0,0,0,0,2020-05-09,3.416666666666667,0
38,2020-05-10,36,13.083183333333332,0.006733333333333333,1.0356800330033002,104.60368333333334,0.13861386138613863,14,75.0,24.0,52.693069306930695,51.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,12,2,0,20,3,9,0,0,0,0,0,0,0,0,0,2020-05-10,4.2,1
39,2020-05-11,29,15.195766666666668,0.0024333333333333334,1.4647796474358974,152.33708333333334,0.08653846153846154,9,95.0,54.0,75.72115384615384,41.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,9,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,2,0,0,16,7,17,0,0,0,0,0,0,0,0,0,2020-05-11,4.6,1
40,2020-05-12,25,19.119666666666667,0.005783333333333333,1.3133202991452992,102.43898333333334,0.07692307692307693,6,97.0,49.0,81.8974358974359,48.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,5,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,13,1,10,0,0,0,0,0,0,0,0,0,2020-05-12,4.666666666666666,1
41,2020-05-13,27,18.4057,0.00425,1.4425353968253969,151.46621666666667,0.0761904761904762,8,100.0,56.0,79.16190476190476,44.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,7,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,3,0,0,20,2,12,0,0,0,0,0,0,0,0,0,2020-05-13,3.866666666666667,0
42,2020-05-14,31,19.245483333333333,0.005416666666666667,1.7757194719471947,179.34766666666667,0.06930693069306931,7,88.0,36.0,62.039603960396036,52.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,1,0,0,15,1,13,0,0,0,0,0,0,0,0,0,2020-05-14,4.533333333333333,1
43,2020-05-15,32,16.713166666666666,0.00018333333333333334,1.293905316091954,150.09301666666667,0.04310344827586207,5,100.0,34.0,57.724137931034484,66.0,14981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,17,9,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,2,2,0,0,15,9,19,0,0,0,0,0,0,0,4,0,2020-05-15,4.866666666666667,1
44,2020-05-16,29,21.241516666666666,0.00325,1.4620257452574525,179.82916666666665,0.06504065040650407,8,100.0,46.0,73.17886178861788,54.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,9,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,3,4,0,19,4,22,0,0,0,0,0,0,0,0,0,2020-05-16,4.6,1
45,2020-05-17,22,11.5686,0.018616666666666667,1.609922154471545,132.01361666666668,0.12195121951219512,10,95.0,56.0,76.52439024390245,39.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,4,0,0,12,5,13,0,0,0,0,0,0,0,0,0,2020-05-17,4.0,1
46,2020-05-18,38,14.300633333333334,0.0037166666666666667,1.170375420875421,115.86716666666666,0.0707070707070707,7,100.0,49.0,79.86868686868686,51.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,3,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,6,2,0,18,1,7,0,0,0,0,0,0,0,0,0,2020-05-18,4.266666666666667,1
47,2020-05-19,43,11.071233333333334,0.00685,1.0653543417366946,126.77716666666666,0.05042016806722689,6,80.0,40.0,59.109243697478995,40.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,4,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,1,0,0,24,1,17,0,0,0,0,0,0,0,0,0,2020-05-19,3.8,0
48,2020-05-20,23,10.351133333333333,0.0028,1.2916985507246377,118.83626666666667,0.07608695652173914,7,93.0,51.0,76.93478260869566,42.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,1,0,16,2,14,0,0,0,0,0,0,0,0,0,2020-05-20,5.333333333333334,1
49,2020-05-21,53,8.39015,0.004583333333333333,1.0374992592592593,140.0624,0.037037037037037035,5,86.0,47.0,63.36296296296296,39.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,6,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,24,1,19,0,0,0,0,0,0,0,0,0,2020-05-21,4.533333333333333,1
50,2020-05-22,24,9.116366666666666,0.03556666666666667,0.8936436073059362,65.23598333333334,0.0821917808219178,6,90.0,46.0,76.58904109589041,44.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,15,2,11,0,0,0,0,0,0,0,0,0,2020-05-22,3.4,0
51,2020-05-23,45,10.7902,0.00795,1.1331498456790123,122.38018333333333,0.1388888888888889,15,92.0,48.0,71.75,44.0,14981,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,6,0,0,16,3,16,0,0,0,0,0,0,0,0,0,2020-05-23,4.533333333333333,1
52,2020-05-24,32,9.2961,0.007716666666666667,1.205565165165165,133.81773333333334,0.07207207207207207,8,84.0,31.0,50.55855855855856,53.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,9,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,0,0,17,3,13,0,0,0,0,0,0,0,0,0,2020-05-24,4.083333333333334,1
53,2020-05-25,23,28.83963333333333,0.007566666666666667,1.3684957482993196,134.11258333333333,0.07142857142857142,7,100.0,46.0,65.85714285714286,54.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,5,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,1,0,4,0,0,14,1,18,0,0,0,0,0,0,0,0,0,2020-05-25,3.2,0
54,2020-05-26,36,4.926116666666666,0.0074333333333333335,0.8806318376068376,68.68928333333334,0.07692307692307693,6,98.0,73.0,85.3974358974359,25.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,0,0,0,0,0,2020-05-26,4.666666666666667,1
55,2020-05-27,39,6.929433333333333,0.00011666666666666667,1.0431142642642643,115.78568333333334,0.06306306306306306,7,100.0,35.0,53.270270270270274,65.0,14981,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,23,6,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,19,4,10,0,0,0,0,0,0,0,0,0,2020-05-27,4.555555555555555,1
56,2020-05-28,42,13.312333333333333,0.022333333333333334,1.1114816326530612,108.9252,0.061224489795918366,6,96.0,58.0,79.91836734693878,38.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,29,6,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,16,3,10,0,0,0,0,0,0,0,0,0,2020-05-28,3.6,0
57,2020-05-29,31,14.546583333333333,0.0027,1.2843991228070175,122.01791666666666,0.09473684210526316,9,100.0,26.0,52.4,74.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,11,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,17,1,17,0,0,0,0,0,0,0,0,0,2020-05-29,4.083333333333333,1
58,2020-05-30,50,10.156383333333334,0.006683333333333334,1.2250093253968255,205.80156666666667,0.047619047619047616,8,92.0,35.0,64.50595238095238,57.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,64,8,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,1,22,0,0,24,4,5,0,0,0,0,0,0,0,0,0,2020-05-30,4.111111111111111,1
59,2020-05-31,26,27.04505,0.0030166666666666666,1.856161046511628,159.62985,0.06976744186046512,6,100.0,16.0,85.59302325581395,84.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,18,0,36,0,0,0,0,0,0,0,0,0,2020-05-31,2.3333333333333335,0
60,2020-02-10,64,53.4622,1.6666666666666667e-05,1.6088060956790124,347.50211666666667,0.16666666666666666,36,97.0,32.0,63.38425925925926,65.0,15530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,5,12,0,0,44,32,36,0,0,0,0,0,0,0,0,0,2020-02-10,4.4,1
61,2020-02-11,80,37.99735,1.6666666666666667e-05,1.054872064777328,260.5534,0.10931174089068826,27,100.0,22.0,68.90283400809717,78.0,15530,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,18,23,0,0,23,10,41,0,0,0,0,0,0,0,0,0,2020-02-11,4.933333333333334,1
62,2020-02-12,89,26.2989,1.6666666666666667e-05,1.0440732142857143,263.10645,0.17857142857142858,45,60.0,11.0,35.70238095238095,49.0,15530,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,21,21,0,0,25,25,35,0,0,0,0,0,0,0,0,0,2020-02-12,4.666666666666666,1
63,2020-02-13,57,18.91358333333333,1.6666666666666667e-05,0.7634298185941043,112.22418333333333,0.19727891156462585,29,42.0,1.0,20.170068027210885,41.0,15530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,2,21,0,0,10,5,30,0,0,0,0,0,0,0,0,0,2020-02-13,3.4,0
64,2020-02-14,73,38.79923333333333,1.6666666666666667e-05,1.1925244166666666,238.50488333333334,0.105,21,58.0,4.0,24.3,54.0,15530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,3,0,1,0,1,6,0,0,0,0,10,21,0,0,27,2,37,0,0,0,0,0,0,0,0,0,2020-02-14,3.0,0
65,2020-02-15,69,43.53405,0.0,1.0423053623188405,239.73023333333333,0.20434782608695654,47,100.0,41.0,74.85652173913043,59.0,15530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,10,30,0,0,30,14,37,0,0,0,0,0,0,0,0,0,2020-02-15,3.5,0
